key	zh-CN	en
doc.02.body	<b>桌面模式</b>　按 Tab 打开或关闭面板。面板在当前视线前方生成并留在世界空间；玩家离得过远时会自动关闭，再按 Tab 会在新位置打开。\n\n<b>VR 模式</b>　快速双击任一手柄 Trigger 可以切换面板。也可以用任意一只手按住 Grip，向右横挥打开、向左横挥关闭；方向以头部朝向为基准。没有触发时，先松开 Grip，再按住并做一次方向明确的挥动。\n\n左侧标签分别进入启动、事件、颜色、设置、玩家同步、调试和文档。开始/停止控制连续运行；“步过”配合调试模式只执行下一个更新阶段；重置会应用标有“重置时更新”的参数并生成新系统；快照用于保存当前可同步状态。\n\n菜单和文档都是本地界面，其他玩家看不到你的翻页和浏览操作。完整文档使用独立的大画布与碰撞体；关闭文档后会回到普通菜单。	<b>Desktop</b>  Press Tab to open or close the panel. It appears in front of your current view and remains in world space. It closes if you move too far away; pressing Tab again opens it at the new location.\n\n<b>VR</b>  Quickly double-tap either controller Trigger to toggle the panel. You can also hold Grip on either controller and swipe right to open or left to close. Direction is measured relative to head orientation. If a gesture is missed, release Grip, hold it again, and make one clear horizontal swipe.\n\nThe left tabs open launch, events, colors, settings, player sync, debug, and documentation. Start/Stop controls continuous execution; Step Once advances the next update stage while debugging; Reset applies settings marked “Applied on Reset” and creates a new system; Snapshot stores the current shareable state.\n\nThe menu and guide are local interfaces, so other players do not see your page navigation. The full guide uses its own larger canvas and collider, then returns to the normal menu when closed.
doc.03.title	参数详解	Parameter Reference
doc.03.body	<b>天体数量</b>：界面显示的就是模拟使用的纹理槽总数；例如 16,384 表示共有 16,384 个槽，其中一部分预留给碎片。完整计算量近似随数量平方增长。\n<b>批次数</b>：把“所有天体作为引力源”的循环拆到多帧。B 个批次需要 B 帧累加速度，再用 1 帧更新位置；提高它会降低单帧 GPU 峰值，但不会减少一个完整物理步的总工作量，并会降低碰撞更新频率。“自动”在持续低于约 50 FPS 时逐步增加批次。\n<b>最大步长</b>：实际物理 Δt 的上限，不是每帧迭代次数。系统先统计完成整个批次循环所用的现实时间，乘以倍速，再截断到这个毫秒值。较小更稳定但可能让模拟跟不上现实时间；较大会增加穿透和数值误差。<b>倍速</b>在截断前乘到 Δt 上。\n\n<b>缩放</b>只改变显示到世界中的尺寸与距离，不改变模拟内部坐标和引力。\n<b>模型灯亮度</b>控制场景中的模型照明；<b>天体闪光亮度</b>控制事件闪光；<b>天体发光亮度</b>控制大质量天体的自发光倍率。<b>色调/饱和度/明度范围</b>定义每个固定天体 ID 随机取色的区间。\n\n以下参数在<b>重置</b>时应用：<b>引力常数</b>控制加速度；<b>生成半径</b>控制初始分布及普通生成范围；<b>销毁半径</b>控制向外飞散天体何时回收；<b>初始速度倍率</b>乘在当前轨道速度算法的结果上；<b>初始质量</b>和<b>碎片质量</b>分别定义两类天体的随机质量范围；<b>天体数量</b>也在此时重新分配活动槽与碎片池。	<b>Body Count</b>: the interface already displays the total number of texture slots used by the simulation; 16,384 means 16,384 slots, with part reserved for fragments. Full-pass cost grows approximately with the square of this value.\n<b>Batch Count</b>: splits the loop over all gravity sources across frames. B batches spend B frames accumulating velocity, then one frame updating position. More batches lower the per-frame GPU peak but do not reduce total work per complete physics step, and collision updates occur less often. Auto gradually raises the count when frame rate remains below about 50 FPS.\n<b>Max Step</b>: the upper limit on physical Δt, not an iteration count. The simulator measures the wall time of a complete batch cycle, multiplies it by Simulation Speed, then clamps it to this millisecond value. A smaller cap is more stable but may slow simulated time; a larger cap increases tunneling and integration error. <b>Simulation Speed</b> multiplies time before that clamp.\n\n<b>Scale</b> changes only the displayed world-space size and distance, not internal coordinates or gravity.\n<b>Avatar Light</b> controls scene lighting on models; <b>Flash Brightness</b> controls event flashes; <b>Glow Brightness</b> scales mass-based body emission. <b>Hue, Saturation, and Lightness Ranges</b> define the random color interval used by each stable body ID.\n\nThe following apply on <b>Reset</b>: <b>Gravity Constant</b> scales acceleration; <b>Spawn Radius</b> controls initial distribution and ordinary spawn range; <b>Despawn Radius</b> recycles outward-moving bodies beyond the boundary; <b>Initial Speed Multiplier</b> multiplies the current orbital-velocity result; <b>Initial Mass</b> and <b>Fragment Mass</b> define their random mass ranges. Body Count is also applied here, repartitioning active slots and the fragment pool.
doc.04.title	碰撞、吞并与撕裂	Collisions, Merging, and Tearing
doc.04.body	图中蓝色为低密度包层，橙色为高密度内核；质量会通过两层的等效密度换算成半径。每一步使用整段 Δt 内的扫掠最近距离，而不只看帧末位置，以减少高速穿透。\n\n<b>包层接触</b>时先按重叠体积产生速度阻尼。若下一步仍重叠，较小天体会被渐进吸收并把质量与动量交给较大天体；若正在离开接触区，则判为擦碰破碎，按重叠体积剥离包层质量并在碰撞环附近喷出碎片。\n\n<b>内核接触</b>，或任一方小于最小交互质量时的包层接触，会吞并较小天体。接收方按质量加权结算动量；达到碎片条件的被吞天体会先拿出约 20% 质量形成喷射物。\n\n<b>潮汐撕裂</b>不要求接触：系统比较外部潮汐差分加速度与天体表面自引力，超过阈值后连续损失质量并从朝向扰动源的一侧产生碎片。冲突事件的优先级为吞并 ＞ 吸收 ＞ 破碎 ＞ 撕裂。	Blue represents the low-density envelope and orange the dense core. Mass is converted to radius through their effective two-layer density. Each step checks the swept closest distance across the full Δt instead of only the final positions, reducing high-speed tunneling.\n\nOn <b>envelope contact</b>, overlap volume first produces velocity drag. If overlap continues into the next step, the smaller body is gradually absorbed and transfers mass and momentum. If the bodies are leaving contact, the encounter becomes a grazing shatter: overlapping envelope mass is removed and fragments are emitted around the collision ring.\n\n<b>Core contact</b>, or envelope contact where either body is below the minimum interaction mass, swallows the smaller body. The receiver settles momentum by mass weighting. If the swallowed body qualifies for fragments, roughly 20% of its mass is separated into ejecta first.\n\n<b>Tidal tearing</b> needs no contact. External differential acceleration is compared with the body's surface self-gravity; above the threshold, mass is continuously removed and fragments leave from the perturber-facing side. Conflicts use the priority swallowed > absorbed > shattered > torn.
doc.05.title	GPU 物理是怎样工作的	How GPU Physics Works
doc.05.body	（真的有人会读这些吗？）\n\n<b>状态如何存储</b>　每个天体对应 256×256 RGBA 浮点纹理中的一个像素。PosMass 的 RGB 是三维位置，A 是质量；VelMisc 的 RGB 是三维速度，A 是编码后的事件状态；EventData 的 RGB 是事件方向，A 是损失质量；EventMeta 记录事件类型、关联天体 ID 和有效标记。PosMass 与 VelMisc 各有 A/B 两张纹理，以 Ping-Pong 方式轮流读写；颜色和轨迹历史则保存在独立 CRT 中，不参与引力积分。\n\n引力加速度按图中公式对所有 j≠i 求和，并在近距离用天体尺寸限制分母。N 个槽一次完整扫描要做约 N(N−1) 次配对：16,384 个约 2.684 亿次，65,536 个约 42.949 亿次。CPU 擅长少量复杂、低延迟任务；GPU 有大量并行算术通道，同代消费级硬件的 FP32 理论吞吐通常可相差一个数量级，但显存带宽和分支仍会成为限制。\n\n积分采用<b>半隐式欧拉法</b>：先用当前加速度更新速度，再用新速度更新位置。它便宜、适合海量并行，并比显式欧拉更能维持轨道，但仍会积累能量误差；Δt 越大，误差与穿透风险越高。\n\nVRChat 中这里使用 Custom Render Texture，而不是可任意读写的 Compute Buffer。一次片元执行只能可靠地写回自己的像素，不能从碰撞像素直接向任意空槽追加碎片；因此项目把事件写成纹理记录，再让预留的空槽反向寻找并领取碎片来源。	(Does anyone actually read this stuff?)\n\n<b>How state is stored</b>  Each body corresponds to one pixel in a 256×256 floating-point RGBA texture. PosMass uses RGB for 3D position and A for mass; VelMisc uses RGB for 3D velocity and A for encoded event state; EventData uses RGB for event direction and A for lost mass; EventMeta records event type, related body ID, and a validity flag. PosMass and VelMisc each have A/B textures that alternate as ping-pong input and output. Color and trail history live in separate CRTs and do not participate in gravity integration.\n\nGravity sums the illustrated acceleration over every j≠i, with the denominator clamped by body size at close range. A full scan of N slots performs about N(N−1) pair evaluations: 16,384 means 268.4 million, while 65,536 means 4.295 billion. CPUs excel at a smaller number of complex, low-latency tasks; GPUs provide many parallel arithmetic lanes. FP32 theoretical throughput can differ by roughly an order of magnitude on contemporary consumer hardware, although memory bandwidth and branching still limit this workload.\n\nIntegration uses <b>semi-implicit Euler</b>: update velocity from current acceleration, then update position with the new velocity. It is inexpensive, massively parallel, and preserves orbits better than explicit Euler, but still accumulates energy error. Larger Δt means more error and more tunneling risk.\n\nThis VRChat implementation uses Custom Render Textures rather than arbitrary writable compute buffers. A fragment invocation can reliably write only its own pixel, so a collision pixel cannot append fragments directly into arbitrary free slots. Events are recorded into textures, then reserved empty pixels search backward and claim fragment sources.
doc.06.title	更新顺序与碎片生成	Update Order and Fragment Generation
doc.06.body	一个逻辑周期开始时会固定本轮批次数。随后进行 B 次 VelMisc 更新：每次所有目标像素只扫描一段引力源 ID，跨批累加引力和事件候选。B 批结束后，偶数周期把最终碰撞/撕裂事件写入 EventData 与 EventMeta，接着 PosMass 统一结算质量并推进位置，最后交换 A/B 纹理。下一奇数周期结算吞并与吸收，同时由空槽消费上一代事件；奇偶两代分开可避免读取尚未写完的事件。\n\n分批不会把 O(N²) 变小，只是把源循环摊到多帧。B 越大，单帧越轻，但一个完整速度累加加位置更新需要 B+1 帧，事件响应也更慢。\n\n重置时约 25% 容量被保留为 DEAD 碎片池。事件纹理记录损失质量、方向和来源；每个空槽以随机位置到来源的距离²/损失质量作为评分，并按“总损失质量 ÷ 最小碎片质量 ÷ 空槽数”决定是否领取。这样绕开了 CRT 不能散射写入的问题。\n\n领取后，碎片质量在设定范围内随机。擦碰与吞并碎片分布在母体碰撞面的环上，并以局部逃逸速度的一定比例向外喷出；潮汐碎片从被撕裂侧生成，速度接近母体局部逃逸速度。由于槽位有限且使用概率抽样，碎片数量和质量守恒是面向视觉效果的近似，不是精确物质追踪。	At the start of a logical cycle, the batch count is frozen. The simulator then performs B VelMisc passes: every destination pixel scans one slice of source IDs, accumulating gravity and event candidates across batches. After B passes, an even cycle writes finalized collision and tear events into EventData and EventMeta. PosMass then settles mass and advances position before the A/B textures swap. The following odd cycle settles swallowing and absorption while empty slots consume the previous event generation. Separating even detection from odd settlement prevents reading half-written events.\n\nBatching does not reduce O(N²) work; it spreads the source loop across frames. A larger B lowers per-frame load, but one full velocity accumulation plus position update takes B+1 frames and event response becomes slower.\n\nOn Reset, roughly 25% of capacity is reserved as a DEAD fragment pool. Event textures record lost mass, direction, and source. Each empty slot scores candidate sources using random-position distance² divided by lost mass, then claims one with probability based on total lost mass, minimum fragment mass, and the number of empty slots. This avoids CRT scatter writes.\n\nA claimed fragment receives a random mass in the configured range. Grazing and swallowed ejecta appear on a ring around the parent collision surface and launch at a fraction of local escape speed. Tidal fragments appear on the torn side near escape speed. Because slots are finite and sampling is probabilistic, fragment count and mass conservation are visual approximations rather than exact material tracking.
doc.07.title	渲染、插值与轨迹	Rendering, Interpolation, and Trails
doc.07.body	天体由一个包含大量 Quad 的合并网格一次性提交。每个 Quad 的 UV2 对应天体 ID；顶点着色器从纹理读取状态，让面片始终朝向当前视角，片元着色器再重建球面法线、光照和真实深度，因此用很少的 Draw Call 显示大量球体。远距降饱和度与明度也以当前玩家相机位置计算。\n\n位置只在完成全部批次后更新。渲染器按当前处于 B+1 更新序列的进度，在上一份与当前 PosMass 间插值，所以高批次时运动仍连续；这只平滑画面，不改变碰撞或引力。刚复用的空槽没有有效旧位置，会在生成点原地放大，避免从世界原点拉出一道线。\n\n轨迹每约 0.1 秒异步回读质量，并在 CPU 上每帧检查 256 个天体，最终选出最重的 64 个有效 ID。仍在前 64 的 ID 保留原来的轨迹行，新 ID 才填空位，避免已有线条突然交换对象。\n\n轨迹历史是 256×64 的 Ping-Pong 纹理；每行属于一个被选中的天体，只有移动超过约 50 个模拟单位才追加点。DEAD 或刚重生会清理对应历史，最后由独立条带网格绘制。轨迹选择和历史均为本地视觉状态，应用快照时会清空。	Bodies are submitted as one merged mesh containing many quads. Each quad's UV2 identifies a body. The vertex shader reads its texture state and faces the card toward the current view; the fragment shader reconstructs sphere normals, lighting, and true depth. This displays many spheres with very few draw calls. Distance-based saturation and lightness fading also uses the local player's camera position.\n\nPosition updates only after all batches finish. The renderer interpolates between previous and current PosMass according to progress through the B+1 update sequence, so motion remains continuous at high batch counts. This changes presentation only, not gravity or collisions. A newly reused empty slot has no valid old position, so it grows at its spawn point instead of drawing a streak from the world origin.\n\nAbout every 0.1 seconds, the trail system asynchronously reads masses and checks 256 bodies per CPU frame until it finds the 64 heaviest valid IDs. IDs that remain in the top 64 keep their previous trail rows; only new IDs fill empty rows, preventing existing lines from suddenly swapping targets.\n\nHistory is a 256×64 ping-pong texture, one row per tracked body. A point is appended only after roughly 50 simulation units of movement. DEAD or newly respawned bodies clear their row, and a separate strip mesh renders the result. Selection and history are local visual state and are cleared when a snapshot is applied.
doc.08.title	快照与玩家同步	Snapshots and Player Sync
doc.08.body	抓取快照时，模拟会等到奇数结算/碎片周期完成后的安全边界，再暂停并异步回读位置与速度纹理。系统只打包有效天体，将事件信号清零，并记录天体槽数量与引力常数。成功后，玩家状态只广播“有快照”和有效数量，真正的大数据在有人请求时才发送。\n\n发送方拥有独立 TransferChannel，每块包含 128 个天体的 PosMass 与 VelMisc。接收方严格按序接收，每块写入本地缓冲后通过自己的 PlayerState 回 ACK，发送方再延迟发送下一块；15 秒无响应会重试，超过 3 次或玩家离开则中止。发送方一次服务一人，其他请求进入最多 16 人的队列。\n\n下载完成后，两组位置/速度纹理同时重建，事件纹理与轨迹清空，更新阶段从头开始。下载自己的快照会跳过网络。\n\n<b>局限</b>：这不是实时锁步，只复制某个时刻。它不传颜色、轨迹、事件历史、步长、倍速、批次、缩放、生成/销毁半径或质量范围；只附带天体槽数量和引力常数。双方之后会因本地参数、操作、帧时序和 GPU 浮点差异再次分叉。大快照也很慢：块数为 ceil(有效天体/128)，16,384 个天体就是 128 块，而且每块都要等待一次网络往返；传输不能断点续传。	When a snapshot is requested, the simulator waits for a safe boundary after an odd settlement/fragment cycle, pauses, then asynchronously reads the position and velocity textures. Only valid bodies are packed, event signals are cleared, and slot count plus Gravity Constant are recorded. Player state broadcasts only “snapshot available” and active count; large data is sent only when someone requests it.\n\nEach sender owns a TransferChannel. One chunk contains PosMass and VelMisc for 128 bodies. The receiver accepts chunks strictly in order, copies one into its local buffer, acknowledges through its own PlayerState, and the sender delays the next serialization. A 15-second timeout retries; more than three retries or a player leaving aborts. One receiver is served at a time, with up to 16 requests queued.\n\nAfter download, both A/B position and velocity textures are rebuilt together, event textures and trails are cleared, and scheduling restarts. Applying your own snapshot bypasses the network.\n\n<b>Limitations</b>: this is a copy of one moment, not real-time lockstep. It does not send colors, trails, event history, step cap, speed, batch count, scale, spawn/despawn radii, or mass ranges; only slot count and Gravity Constant accompany body state. Local settings, controls, frame timing, and GPU floating-point differences make peers diverge again. Large snapshots are slow: chunks equal ceil(active bodies/128), so 16,384 bodies require 128 acknowledged round trips, with no resume after interruption.
doc.09.title	调试界面	Debug Interface
doc.09.body	启用调试后，模拟在每次 Unity Update 完成一个调度阶段后自动暂停。“步过”只放行下一个阶段：它可能是一批 VelMisc 引力源、事件/位置阶段中的一步，而不一定等于一个完整物理步。点击正常“开始”会关闭调试模式。\n\n<b>物理步长(ms)</b>：当前真正送入着色器的 Δt，即“完整批次循环耗时 × 倍速”与最大步长上限中的较小值。它和画面帧耗时不是同一个概念。\n<b>目标 CRT</b>：显示位置纹理下一次 Ping-Pong 的方向。A→B 表示当前从 A 读取并准备写 B；B→A 相反。\n<b>当前批次</b>：本轮已经推进到的、从 0 开始的引力源分段索引。数值达到总批次数后，下一阶段通常是事件/位置更新。\n<b>总批次数</b>：本轮开头冻结的实际批次数；自动模式的待定值只会在下一轮边界生效。\n\n页面还显示 Color、PosMass、VelMisc、EventData 和 TrailHistory 五张 CRT 的当前画面，可用于观察纹理是否更新以及数据大致分布。这里是把浮点通道直接映射成屏幕颜色：负数、超出显示范围的值以及尺度差异很大的数值会被截断、夹取或挤在难以分辨的色阶里。因此预览只是纹理内容的近似可视化，不完全等同于 GPU 中保存的真实数值，也不能用来精确读取某个天体的状态。\n\n这个页面适合判断“卡顿来自单批太重，还是完整物理更新太慢”，也适合在 Bug 汇报中记录调度状态。	With debug enabled, the simulator automatically pauses after one scheduling stage completes in each Unity Update. Step Once releases only the next stage: it may be one VelMisc source batch or an event/position stage, not necessarily a complete physics step. Pressing normal Start disables debug mode.\n\n<b>Physics Step (ms)</b>: the Δt actually sent to shaders—the smaller of “full batch-cycle wall time × Simulation Speed” and Max Step. It is not the same as render-frame duration.\n<b>Target CRT</b>: the direction of the next position-texture ping-pong. A→B means A is current input and B is the destination; B→A is the reverse.\n<b>Current Batch</b>: the zero-based gravity-source segment reached in this cycle. Once it reaches Total Batches, the next stage is normally event/position processing.\n<b>Total Batches</b>: the actual count frozen at the beginning of this cycle. A pending Auto adjustment applies only at the next cycle boundary.\n\nThe page also displays the current contents of five CRTs: Color, PosMass, VelMisc, EventData, and TrailHistory. These previews help show whether textures are updating and how data is distributed. Floating-point channels are mapped directly to screen colors, so negative values, values outside the display range, and channels with very different scales may be clipped, clamped, or compressed into indistinguishable shades. The images are only approximate visualizations of texture contents; they do not fully represent the values stored on the GPU and cannot be used to read one body's state precisely.\n\nUse this page to distinguish “one batch is too heavy” from “complete physics updates are too infrequent,” and include the scheduling values in bug reports.
doc.10.title	性能建议与 Bug 汇报	Performance Tips and Bug Reports
doc.10.body	掉帧时先降低天体数量：引力配对近似按 N² 增长，数量减半通常会让核心配对工作量降到约四分之一。批次数设为自动或手动提高可摊平单帧峰值，但总工作量不变；若画面流畅而碰撞反应慢，说明完整物理周期已经被分到太多帧。\n\n最大步长影响稳定性而不是 GPU 配对成本。高速天体频繁穿透时应降低步长；引力常数、初始速度倍率和倍速同时很高会放大欧拉积分误差。缩放会同时改变天体尺寸和它们之间的显示距离，通常不会改变画面中的相对覆盖，因此不是性能调节项。同步大量天体则会长时间占用发送通道。\n\n汇报问题前，请记录复现步骤、桌面或 VR、世界人数、使用的参数，以及调试页四项数值。图形问题请附显卡型号和截图；同步问题请说明发送者/接收者、快照天体数、失败进度和是否有人中途离开。\n\nGitHub Issues：\nhttps://github.com/donywang922/re-Gravity/issues\n\n项目源码：\nhttps://github.com/donywang922/re-Gravity	When frame rate drops, reduce Body Count first. Gravity pairing grows approximately as N², so halving the count usually reduces core pair work to about one quarter. Auto or a higher manual Batch Count can spread the peak across frames, but total work is unchanged. If visuals look smooth while collisions react slowly, a complete physics cycle has been spread across too many frames.\n\nMax Step affects stability rather than GPU pair cost. Lower it when fast bodies tunnel frequently. High Gravity Constant, Initial Speed Multiplier, and Simulation Speed together amplify Euler integration error. Scale changes body size and the displayed distance between bodies together, so their relative screen coverage usually remains unchanged; it is not a performance control. Synchronizing many bodies can occupy a sender's channel for a long time.\n\nBefore reporting, record reproduction steps, desktop or VR mode, player count, parameter values, and all four debug fields. For graphics issues include GPU model and screenshots. For sync issues identify sender/receiver, snapshot body count, failure progress, and whether anyone left mid-transfer.\n\nGitHub Issues:\nhttps://github.com/donywang922/re-Gravity/issues\n\nProject source:\nhttps://github.com/donywang922/re-Gravity
doc.11.title	使用的资产与地址	Assets and Links
doc.11.body	感谢以下项目与资产：\n\n<b>VRChat Worlds SDK 3.10.4 / UdonSharp</b>\nhttps://creators.vrchat.com/worlds/\nhttps://creators.vrchat.com/worlds/udon/udonsharp/\n\n<b>QvPen 3.3.14 — ureishi</b>\nhttps://github.com/ureishi/QvPen\n\n<b>TextMesh Pro 3.0.9 — Unity</b>\nhttps://docs.unity3d.com/Packages/com.unity.textmeshpro@3.0/manual/index.html\n\n<b>Font Awesome 6 Free</b>\nhttps://fontawesome.com/\n\n<b>Smiley Sans / 得意黑 — atelier Anchor</b>\nhttps://github.com/atelier-anchor/smiley-sans\n\n各项目的名称、图标、字体与代码仍遵循其各自许可证；这里列出的是本项目中实际使用的版本或来源。	Thanks to the following projects and assets:\n\n<b>VRChat Worlds SDK 3.10.4 / UdonSharp</b>\nhttps://creators.vrchat.com/worlds/\nhttps://creators.vrchat.com/worlds/udon/udonsharp/\n\n<b>QvPen 3.3.14 — ureishi</b>\nhttps://github.com/ureishi/QvPen\n\n<b>TextMesh Pro 3.0.9 — Unity</b>\nhttps://docs.unity3d.com/Packages/com.unity.textmeshpro@3.0/manual/index.html\n\n<b>Font Awesome 6 Free</b>\nhttps://fontawesome.com/\n\n<b>Smiley Sans — atelier Anchor</b>\nhttps://github.com/atelier-anchor/smiley-sans\n\nNames, icons, fonts, and code remain subject to their respective licenses. The versions or sources listed here are those used by this project.
